GEO_ID,NAME,Total_Pop,Employer_Insurance,Direct_Purchase,Medicare,Medicaid,TRICARE,VA,Uninsured
08059010503,Census Tract 105.03; Jefferson County; Colorado,4711,712,679,880,641,0,45,377
08059010504,Census Tract 105.04; Jefferson County; Colorado,3092,510,483,485,253,107,0,215
08059010603,Census Tract 106.03; Jefferson County; Colorado,3619,370,822,891,683,174,6,230
08059010604,Census Tract 106.04; Jefferson County; Colorado,2248,288,418,517,309,125,28,280
08059010701,Census Tract 107.01; Jefferson County; Colorado,4579,334,1209,1062,970,93,103,222
08059010702,Census Tract 107.02; Jefferson County; Colorado,5305,126,1932,1623,1422,181,435,643
08059010801,Census Tract 108.01; Jefferson County; Colorado,2411,363,186,239,138,72,0,200
08059010901,Census Tract 109.01; Jefferson County; Colorado,5469,433,1488,1583,1495,141,122,357
08059010902,Census Tract 109.02; Jefferson County; Colorado,2993,108,1343,1273,988,224,0,283
08059011000,Census Tract 110; Jefferson County; Colorado,5573,510,1678,1286,1586,121,318,910
08059011101,Census Tract 111.01; Jefferson County; Colorado,3590,286,1172,989,638,264,131,143
08059011102,Census Tract 111.02; Jefferson County; Colorado,2879,213,937,849,884,31,74,260
08059011202,Census Tract 112.02; Jefferson County; Colorado,5091,487,1674,1309,990,246,118,430
08059011300,Census Tract 113; Jefferson County; Colorado,3230,342,1051,951,820,174,90,249
08059011401,Census Tract 114.01; Jefferson County; Colorado,2533,102,959,871,724,77,87,129
08059011402,Census Tract 114.02; Jefferson County; Colorado,3970,316,1491,1390,1160,194,209,155
08059011551,Census Tract 115.51; Jefferson County; Colorado,4043,193,1731,1594,1039,246,248,245
08059011552,Census Tract 115.52; Jefferson County; Colorado,3171,109,1102,1158,1308,140,35,191
08059011601,Census Tract 116.01; Jefferson County; Colorado,4068,99,1418,915,1073,112,242,381
08059011602,Census Tract 116.02; Jefferson County; Colorado,4012,228,906,699,921,77,138,141
08059011701,Census Tract 117.01; Jefferson County; Colorado,4591,501,647,482,449,58,305,513
08059011702,Census Tract 117.02; Jefferson County; Colorado,5359,406,1549,1279,1048,205,79,492
08059011708,Census Tract 117.08; Jefferson County; Colorado,3806,294,959,761,831,91,169,170
08059011709,Census Tract 117.09; Jefferson County; Colorado,3297,178,682,767,537,62,63,60
08059011710,Census Tract 117.10; Jefferson County; Colorado,3939,380,874,820,705,12,265,394
08059011711,Census Tract 117.11; Jefferson County; Colorado,4086,688,909,940,680,62,11,405
08059011712,Census Tract 117.12; Jefferson County; Colorado,4139,686,619,661,509,87,16,292
08059011720,Census Tract 117.20; Jefferson County; Colorado,5212,1155,850,853,642,126,17,287
08059011721,Census Tract 117.21; Jefferson County; Colorado,3146,444,1054,894,673,105,92,263
08059011723,Census Tract 117.23; Jefferson County; Colorado,3487,448,1241,1185,837,188,100,223
08059011724,Census Tract 117.24; Jefferson County; Colorado,8052,1537,1178,1421,1184,192,19,540
08059011725,Census Tract 117.25; Jefferson County; Colorado,1821,268,209,258,262,78,10,124
08059011726,Census Tract 117.26; Jefferson County; Colorado,5424,851,869,800,606,233,27,319
