GEO_ID,NAME,Avg_HH_Size
08059012024,Census Tract 120.24; Jefferson County; Colorado,2.32
08059012026,Census Tract 120.26; Jefferson County; Colorado,2.42
08059012027,Census Tract 120.27; Jefferson County; Colorado,2.44
08059012030,Census Tract 120.30; Jefferson County; Colorado,2.35
08059012031,Census Tract 120.31; Jefferson County; Colorado,2.39
08059012032,Census Tract 120.32; Jefferson County; Colorado,2.55
08059012033,Census Tract 120.33; Jefferson County; Colorado,2.73
08059012034,Census Tract 120.34; Jefferson County; Colorado,2.49
08059012035,Census Tract 120.35; Jefferson County; Colorado,2.85
08059012036,Census Tract 120.36; Jefferson County; Colorado,2.49
08059012037,Census Tract 120.37; Jefferson County; Colorado,2.33
08059012038,Census Tract 120.38; Jefferson County; Colorado,2.68
08059012039,Census Tract 120.39; Jefferson County; Colorado,2.54
08059012041,Census Tract 120.41; Jefferson County; Colorado,2.57
08059012042,Census Tract 120.42; Jefferson County; Colorado,2.76
08059012043,Census Tract 120.43; Jefferson County; Colorado,2.42
08059012044,Census Tract 120.44; Jefferson County; Colorado,2.38
08059012045,Census Tract 120.45; Jefferson County; Colorado,2.62
08059012046,Census Tract 120.46; Jefferson County; Colorado,2.41
08059012047,Census Tract 120.47; Jefferson County; Colorado,2.53
08059012048,Census Tract 120.48; Jefferson County; Colorado,2.2
08059012049,Census Tract 120.49; Jefferson County; Colorado,2.48
08059012050,Census Tract 120.50; Jefferson County; Colorado,2.06
08059012051,Census Tract 120.51; Jefferson County; Colorado,2.88
08059012052,Census Tract 120.52; Jefferson County; Colorado,2.84
08059012053,Census Tract 120.53; Jefferson County; Colorado,2.84
08059012054,Census Tract 120.54; Jefferson County; Colorado,2.42
08059012055,Census Tract 120.55; Jefferson County; Colorado,2.52
08059012057,Census Tract 120.57; Jefferson County; Colorado,2.32
08059012058,Census Tract 120.58; Jefferson County; Colorado,2.56
08059012059,Census Tract 120.59; Jefferson County; Colorado,2.77
08059012060,Census Tract 120.60; Jefferson County; Colorado,2.23
08059015800,Census Tract 158; Jefferson County; Colorado,1.96
08059015900,Census Tract 159; Jefferson County; Colorado,2.39
08059060300,Census Tract 603; Jefferson County; Colorado,2.62
08059060400,Census Tract 604; Jefferson County; Colorado,2.68
08059060501,Census Tract 605.01; Jefferson County; Colorado,2.87
08059980000,Census Tract 9800; Jefferson County; Colorado,-666666666.0
08059980400,Census Tract 9804; Jefferson County; Colorado,-666666666.0
08059980700,Census Tract 9807; Jefferson County; Colorado,-666666666.0
08059980800,Census Tract 9808; Jefferson County; Colorado,-666666666.0
