GEO_ID,Tract_Name,County,Total_Households,No_Internet_HH,Pct_No_Internet
08059010212,"Census Tract 102.12, Jefferson County, CO",Jefferson County,1634,71,4.3
08059010213,"Census Tract 102.13, Jefferson County, CO",Jefferson County,1932,103,5.3
08059010303,"Census Tract 103.03, Jefferson County, CO",Jefferson County,2120,27,1.3
08059010304,"Census Tract 103.04, Jefferson County, CO",Jefferson County,988,74,7.5
08059010305,"Census Tract 103.05, Jefferson County, CO",Jefferson County,1666,108,6.5
08059010306,"Census Tract 103.06, Jefferson County, CO",Jefferson County,1202,130,10.8
08059010307,"Census Tract 103.07, Jefferson County, CO",Jefferson County,2042,41,2.0
08059010308,"Census Tract 103.08, Jefferson County, CO",Jefferson County,2814,21,0.7
08059010402,"Census Tract 104.02, Jefferson County, CO",Jefferson County,2803,119,4.2
08059010403,"Census Tract 104.03, Jefferson County, CO",Jefferson County,2570,107,4.2
08059010405,"Census Tract 104.05, Jefferson County, CO",Jefferson County,1592,142,8.9
08059010406,"Census Tract 104.06, Jefferson County, CO",Jefferson County,1455,113,7.8
08059010502,"Census Tract 105.02, Jefferson County, CO",Jefferson County,2358,184,7.8
08059010503,"Census Tract 105.03, Jefferson County, CO",Jefferson County,2098,262,12.5
08059010504,"Census Tract 105.04, Jefferson County, CO",Jefferson County,1223,32,2.6
08059010603,"Census Tract 106.03, Jefferson County, CO",Jefferson County,1938,158,8.2
08059010604,"Census Tract 106.04, Jefferson County, CO",Jefferson County,1034,33,3.2
08059010701,"Census Tract 107.01, Jefferson County, CO",Jefferson County,2486,256,10.3
08059010702,"Census Tract 107.02, Jefferson County, CO",Jefferson County,2334,272,11.7
08059010801,"Census Tract 108.01, Jefferson County, CO",Jefferson County,1050,10,1.0
08059010901,"Census Tract 109.01, Jefferson County, CO",Jefferson County,2249,181,8.0
08059010902,"Census Tract 109.02, Jefferson County, CO",Jefferson County,1437,107,7.4
08059011000,"Census Tract 110, Jefferson County, CO",Jefferson County,2249,41,1.8
08059011101,"Census Tract 111.01, Jefferson County, CO",Jefferson County,1642,33,2.0
08059011102,"Census Tract 111.02, Jefferson County, CO",Jefferson County,1474,365,24.8
08059011202,"Census Tract 112.02, Jefferson County, CO",Jefferson County,1667,35,2.1
08059011300,"Census Tract 113, Jefferson County, CO",Jefferson County,1412,111,7.9
08059011401,"Census Tract 114.01, Jefferson County, CO",Jefferson County,1285,160,12.5
08059011402,"Census Tract 114.02, Jefferson County, CO",Jefferson County,2014,260,12.9
08059011551,"Census Tract 115.51, Jefferson County, CO",Jefferson County,2054,90,4.4
08059011552,"Census Tract 115.52, Jefferson County, CO",Jefferson County,1309,46,3.5
08059011601,"Census Tract 116.01, Jefferson County, CO",Jefferson County,1383,90,6.5
08059011602,"Census Tract 116.02, Jefferson County, CO",Jefferson County,1705,83,4.9
08059011701,"Census Tract 117.01, Jefferson County, CO",Jefferson County,1975,89,4.5
08059011702,"Census Tract 117.02, Jefferson County, CO",Jefferson County,2198,116,5.3
08059011708,"Census Tract 117.08, Jefferson County, CO",Jefferson County,1508,73,4.8
08059011709,"Census Tract 117.09, Jefferson County, CO",Jefferson County,1565,57,3.6
08059011710,"Census Tract 117.10, Jefferson County, CO",Jefferson County,2007,168,8.4
08059011711,"Census Tract 117.11, Jefferson County, CO",Jefferson County,1853,64,3.5
08059011712,"Census Tract 117.12, Jefferson County, CO",Jefferson County,1818,0,0.0
