GEO_ID,Tract_Name,County,Total_Pop,Pop_65plus,Pct_65plus
08001009318,"Census Tract 93.18, Adams County, CO",Adams County,7022,319,4.5
08001009319,"Census Tract 93.19, Adams County, CO",Adams County,2579,394,15.3
08001009320,"Census Tract 93.20, Adams County, CO",Adams County,2872,236,8.2
08001009321,"Census Tract 93.21, Adams County, CO",Adams County,4441,310,7.0
08001009322,"Census Tract 93.22, Adams County, CO",Adams County,5047,347,6.9
08001009323,"Census Tract 93.23, Adams County, CO",Adams County,3593,370,10.3
08001009325,"Census Tract 93.25, Adams County, CO",Adams County,6075,981,16.1
08001009326,"Census Tract 93.26, Adams County, CO",Adams County,2902,923,31.8
08001009327,"Census Tract 93.27, Adams County, CO",Adams County,4781,628,13.1
08001009401,"Census Tract 94.01, Adams County, CO",Adams County,4530,646,14.3
08001009406,"Census Tract 94.06, Adams County, CO",Adams County,4527,644,14.2
08001009407,"Census Tract 94.07, Adams County, CO",Adams County,5345,638,11.9
08001009408,"Census Tract 94.08, Adams County, CO",Adams County,4954,693,14.0
08001009409,"Census Tract 94.09, Adams County, CO",Adams County,5863,1267,21.6
08001009410,"Census Tract 94.10, Adams County, CO",Adams County,3267,753,23.0
08001009411,"Census Tract 94.11, Adams County, CO",Adams County,2987,600,20.1
08001009501,"Census Tract 95.01, Adams County, CO",Adams County,2861,288,10.1
08001009502,"Census Tract 95.02, Adams County, CO",Adams County,5484,445,8.1
08001009553,"Census Tract 95.53, Adams County, CO",Adams County,3386,583,17.2
08001009603,"Census Tract 96.03, Adams County, CO",Adams County,5914,899,15.2
08001009604,"Census Tract 96.04, Adams County, CO",Adams County,4277,942,22.0
