GEO_ID,NAME,Total_Pop,Pop_Disabled
08059012042,Census Tract 120.42; Jefferson County; Colorado,3919,376
08059012043,Census Tract 120.43; Jefferson County; Colorado,5829,402
08059012044,Census Tract 120.44; Jefferson County; Colorado,3784,389
08059012045,Census Tract 120.45; Jefferson County; Colorado,5820,571
08059012046,Census Tract 120.46; Jefferson County; Colorado,1944,225
08059012047,Census Tract 120.47; Jefferson County; Colorado,4312,317
08059012048,Census Tract 120.48; Jefferson County; Colorado,2079,377
08059012049,Census Tract 120.49; Jefferson County; Colorado,3511,306
08059012050,Census Tract 120.50; Jefferson County; Colorado,3901,350
08059012051,Census Tract 120.51; Jefferson County; Colorado,4025,436
08059012052,Census Tract 120.52; Jefferson County; Colorado,5672,672
08059012053,Census Tract 120.53; Jefferson County; Colorado,4397,480
08059012054,Census Tract 120.54; Jefferson County; Colorado,3798,319
08059012055,Census Tract 120.55; Jefferson County; Colorado,3685,299
08059012057,Census Tract 120.57; Jefferson County; Colorado,5981,448
08059012058,Census Tract 120.58; Jefferson County; Colorado,3840,572
08059012059,Census Tract 120.59; Jefferson County; Colorado,3551,301
08059012060,Census Tract 120.60; Jefferson County; Colorado,3154,276
08059015800,Census Tract 158; Jefferson County; Colorado,4130,701
08059015900,Census Tract 159; Jefferson County; Colorado,3524,427
08059060300,Census Tract 603; Jefferson County; Colorado,4145,396
08059060400,Census Tract 604; Jefferson County; Colorado,6129,570
08059060501,Census Tract 605.01; Jefferson County; Colorado,11135,563
08059980000,Census Tract 9800; Jefferson County; Colorado,0,0
08059980400,Census Tract 9804; Jefferson County; Colorado,0,0
08059980700,Census Tract 9807; Jefferson County; Colorado,0,0
08059980800,Census Tract 9808; Jefferson County; Colorado,0,0
