GEO_ID,Tract_Name,County,Total_Pop,White_NonHispanic,Black_NonHispanic,Asian_NonHispanic,Hispanic,Pct_White_NonHisp,Pct_Black,Pct_Asian,Pct_Hispanic
08059011730,"Census Tract 117.30, Jefferson County, CO",Jefferson County,3322,2206,88,27,896,66.4,2.6,0.8,27.0
08059011731,"Census Tract 117.31, Jefferson County, CO",Jefferson County,4205,2879,12,278,904,68.5,0.3,6.6,21.5
08059011732,"Census Tract 117.32, Jefferson County, CO",Jefferson County,5005,3480,17,203,1210,69.5,0.3,4.1,24.2
08059011733,"Census Tract 117.33, Jefferson County, CO",Jefferson County,2330,1780,35,61,237,76.4,1.5,2.6,10.2
08059011803,"Census Tract 118.03, Jefferson County, CO",Jefferson County,6285,3158,46,359,2427,50.2,0.7,5.7,38.6
08059011804,"Census Tract 118.04, Jefferson County, CO",Jefferson County,4175,2196,36,382,1443,52.6,0.9,9.1,34.6
08059011806,"Census Tract 118.06, Jefferson County, CO",Jefferson County,4871,3320,40,142,1187,68.2,0.8,2.9,24.4
08059011807,"Census Tract 118.07, Jefferson County, CO",Jefferson County,2599,1769,29,87,493,68.1,1.1,3.3,19.0
08059011808,"Census Tract 118.08, Jefferson County, CO",Jefferson County,2409,1182,239,43,865,49.1,9.9,1.8,35.9
08059011904,"Census Tract 119.04, Jefferson County, CO",Jefferson County,3130,2073,33,46,859,66.2,1.1,1.5,27.4
08059011951,"Census Tract 119.51, Jefferson County, CO",Jefferson County,4084,2484,176,457,747,60.8,4.3,11.2,18.3
08059012022,"Census Tract 120.22, Jefferson County, CO",Jefferson County,5608,4501,46,41,390,80.3,0.8,0.7,7.0
08059012023,"Census Tract 120.23, Jefferson County, CO",Jefferson County,3002,2529,11,65,286,84.2,0.4,2.2,9.5
08059012024,"Census Tract 120.24, Jefferson County, CO",Jefferson County,5638,4476,0,295,521,79.4,0.0,5.2,9.2
08059012026,"Census Tract 120.26, Jefferson County, CO",Jefferson County,3284,3059,7,13,66,93.1,0.2,0.4,2.0
08059012027,"Census Tract 120.27, Jefferson County, CO",Jefferson County,2940,2285,21,24,413,77.7,0.7,0.8,14.0
08059012030,"Census Tract 120.30, Jefferson County, CO",Jefferson County,3835,3254,29,57,221,84.9,0.8,1.5,5.8
08059012031,"Census Tract 120.31, Jefferson County, CO",Jefferson County,3249,2631,0,106,198,81.0,0.0,3.3,6.1
08059012032,"Census Tract 120.32, Jefferson County, CO",Jefferson County,2603,2309,0,0,169,88.7,0.0,0.0,6.5
08059012033,"Census Tract 120.33, Jefferson County, CO",Jefferson County,3017,2722,33,30,134,90.2,1.1,1.0,4.4
08059012034,"Census Tract 120.34, Jefferson County, CO",Jefferson County,4017,3902,30,0,12,97.1,0.7,0.0,0.3
08059012035,"Census Tract 120.35, Jefferson County, CO",Jefferson County,5038,4552,8,87,196,90.4,0.2,1.7,3.9
08059012036,"Census Tract 120.36, Jefferson County, CO",Jefferson County,3153,2601,0,71,331,82.5,0.0,2.3,10.5
08059012037,"Census Tract 120.37, Jefferson County, CO",Jefferson County,3721,3430,0,41,92,92.2,0.0,1.1,2.5
08059012038,"Census Tract 120.38, Jefferson County, CO",Jefferson County,3425,2270,31,86,815,66.3,0.9,2.5,23.8
08059012039,"Census Tract 120.39, Jefferson County, CO",Jefferson County,5235,3804,166,245,717,72.7,3.2,4.7,13.7
08059012041,"Census Tract 120.41, Jefferson County, CO",Jefferson County,5251,3759,45,343,801,71.6,0.9,6.5,15.3
08059012042,"Census Tract 120.42, Jefferson County, CO",Jefferson County,3929,3062,13,193,492,77.9,0.3,4.9,12.5
08059012043,"Census Tract 120.43, Jefferson County, CO",Jefferson County,5829,4239,0,357,948,72.7,0.0,6.1,16.3
08059012044,"Census Tract 120.44, Jefferson County, CO",Jefferson County,3796,2977,0,153,401,78.4,0.0,4.0,10.6
08059012045,"Census Tract 120.45, Jefferson County, CO",Jefferson County,5820,4158,18,174,1134,71.4,0.3,3.0,19.5
08059012046,"Census Tract 120.46, Jefferson County, CO",Jefferson County,1944,1545,5,79,224,79.5,0.3,4.1,11.5
08059012047,"Census Tract 120.47, Jefferson County, CO",Jefferson County,4312,3252,32,121,735,75.4,0.7,2.8,17.0
08059012048,"Census Tract 120.48, Jefferson County, CO",Jefferson County,2079,1627,4,0,382,78.3,0.2,0.0,18.4
08059012049,"Census Tract 120.49, Jefferson County, CO",Jefferson County,3511,2964,0,145,343,84.4,0.0,4.1,9.8
08059012050,"Census Tract 120.50, Jefferson County, CO",Jefferson County,3946,3040,89,275,391,77.0,2.3,7.0,9.9
08059012051,"Census Tract 120.51, Jefferson County, CO",Jefferson County,4052,3412,18,74,304,84.2,0.4,1.8,7.5
08059012052,"Census Tract 120.52, Jefferson County, CO",Jefferson County,5710,4900,70,10,637,85.8,1.2,0.2,11.2
08059012053,"Census Tract 120.53, Jefferson County, CO",Jefferson County,4397,3475,15,69,615,79.0,0.3,1.6,14.0
08059012054,"Census Tract 120.54, Jefferson County, CO",Jefferson County,3798,3312,16,107,283,87.2,0.4,2.8,7.5
08059012055,"Census Tract 120.55, Jefferson County, CO",Jefferson County,3695,3099,20,35,308,83.9,0.5,0.9,8.3
08059012057,"Census Tract 120.57, Jefferson County, CO",Jefferson County,5992,4939,10,78,860,82.4,0.2,1.3,14.4
08059012058,"Census Tract 120.58, Jefferson County, CO",Jefferson County,3843,3362,6,40,152,87.5,0.2,1.0,4.0
08059012059,"Census Tract 120.59, Jefferson County, CO",Jefferson County,3556,2690,6,79,633,75.6,0.2,2.2,17.8
08059012060,"Census Tract 120.60, Jefferson County, CO",Jefferson County,3181,2268,19,53,607,71.3,0.6,1.7,19.1
08059015800,"Census Tract 158, Jefferson County, CO",Jefferson County,4189,3361,27,36,562,80.2,0.6,0.9,13.4
08059015900,"Census Tract 159, Jefferson County, CO",Jefferson County,3671,2408,53,39,998,65.6,1.4,1.1,27.2
08059060300,"Census Tract 603, Jefferson County, CO",Jefferson County,4157,2846,24,342,600,68.5,0.6,8.2,14.4
08059060400,"Census Tract 604, Jefferson County, CO",Jefferson County,6139,3912,198,391,1249,63.7,3.2,6.4,20.3
08059060501,"Census Tract 605.01, Jefferson County, CO",Jefferson County,11152,8339,43,632,1653,74.8,0.4,5.7,14.8
08059980000,"Census Tract 9800, Jefferson County, CO",Jefferson County,0,0,0,0,0,,,,
08059980400,"Census Tract 9804, Jefferson County, CO",Jefferson County,771,467,60,31,140,60.6,7.8,4.0,18.2
08059980700,"Census Tract 9807, Jefferson County, CO",Jefferson County,0,0,0,0,0,,,,
08059980800,"Census Tract 9808, Jefferson County, CO",Jefferson County,0,0,0,0,0,,,,
